,essay,empathy,distress,emotion,personality_conscientiousness,personality_openess,personality_extraversion,personality_agreeableness,personality_stability,iri_perspective_taking,iri_personal_distress,iri_fantasy,iri_empathatic_concern,demographic,demographic_essay
100,Reading about this insane war zone and killings was so graphic and made me so sad. I think so much more needs to be done to defeat ISIS they are like the black plague spreading in the middle east. They hate america and destroy innocent lives I just dont know how you could kill so many people and not feel bad. They are killing people and show casing them in the streets it is hard to understand how in this day and age groups can do that it reminds me of the nazis during the holocaust I fear if this is not taen care of soon it will spread to other areas liek the us with more terroristic events happening.,6.0,6.0,Fear/Sadness,6.0,6.0,6.0,6.0,6.0,4.0,2.286,3.571,3.714,I am female. My age is 27.0 years. My education level is echnical/Vocational School. My race is White. My income is 25000.0. I am writing with respect to article number 94.,I am female. My age is 27.0 years. My education level is echnical/Vocational School. My race is White. My income is 25000.0. I am writing with respect to article number 94. Reading about this insane war zone and killings was so graphic and made me so sad. I think so much more needs to be done to defeat ISIS they are like the black plague spreading in the middle east. They hate america and destroy innocent lives I just dont know how you could kill so many people and not feel bad. They are killing people and show casing them in the streets it is hard to understand how in this day and age groups can do that it reminds me of the nazis during the holocaust I fear if this is not taen care of soon it will spread to other areas liek the us with more terroristic events happening.
101,Reading about the atrocities committed by ISIS is one of the most disheartening things a person can do. Children being put on the front lines and brainwashed into thinking that their actions are going to earn them a place in the eternal bliss of paradise while the widows and orphans they create are passed around higher ranking members as slaves. The whole thing makes me want to wretch.,3.8333333333333335,2.75,Disgust/Sadness,6.0,6.5,1.0,6.0,5.5,5.0,2.286,3.286,4.143,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 147.,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 147. Reading about the atrocities committed by ISIS is one of the most disheartening things a person can do. Children being put on the front lines and brainwashed into thinking that their actions are going to earn them a place in the eternal bliss of paradise while the widows and orphans they create are passed around higher ranking members as slaves. The whole thing makes me want to wretch.
102,"A smog outbreak in Southeast Asia last year may have caused over 100,000 premature deaths, according to a new study released Monday that triggered calls for action to tackle the ?killer haze?. Researchers from Harvard and Columbia universities in the US estimated there were more than 90,000 early deaths in Indonesia in areas closest to haze-belching fires, and several thousand more in neighboring Singapore and Malaysia. I feel so sad at the thought of this haze killing thousands of people.",5.0,2.0,Neutral/Sadness,5.5,4.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 147.,"I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 147. A smog outbreak in Southeast Asia last year may have caused over 100,000 premature deaths, according to a new study released Monday that triggered calls for action to tackle the ?killer haze?. Researchers from Harvard and Columbia universities in the US estimated there were more than 90,000 early deaths in Indonesia in areas closest to haze-belching fires, and several thousand more in neighboring Singapore and Malaysia. I feel so sad at the thought of this haze killing thousands of people."
103,"The fires that killed more than 100,000 people just disappoint me honestly. I feel like overall there has to be a better way to go about things this is just depressing and we need to find better ways to help them out. I feel like there needs to be people held accountable for this just leaving it like this is not going to cut it.",6.666666666666667,6.0,Sadness,5.5,5.0,2.0,5.5,4.5,3.429,2.857,2.857,2.714,I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 147.,"I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 147. The fires that killed more than 100,000 people just disappoint me honestly. I feel like overall there has to be a better way to go about things this is just depressing and we need to find better ways to help them out. I feel like there needs to be people held accountable for this just leaving it like this is not going to cut it."
104,"The tragedy that happened in DC was definitely very terrible. Anytime you lose your loved ones or anything to a fire, it can be  very traumatizing. It is also very hard to recover from something like that in my opinion. I think the article said that cats were taken away by the fire. This is tough because i have pets and i love them to death.",2.5,1.0,Sadness,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 125.,"I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 125. The tragedy that happened in DC was definitely very terrible. Anytime you lose your loved ones or anything to a fire, it can be  very traumatizing. It is also very hard to recover from something like that in my opinion. I think the article said that cats were taken away by the fire. This is tough because i have pets and i love them to death."
105,Fires always manage to touch my heart. I have personal experience with this and the fear is still with me to this day. A fire can ravage everything that you have any really leave a person traumatized. A lot of times a person or family will get woken up to loud alarms and smoke out of nowhere and have to pick their most important possessions to save. This is a scary situation!,5.166666666666667,1.625,Fear/Sadness,6.0,6.5,4.0,4.0,5.5,4.0,1.571,4.0,3.857,I am male. My age is 30.0 years. My education level is High School diploma. My race is White. My income is 30000.0. I am writing with respect to article number 125.,I am male. My age is 30.0 years. My education level is High School diploma. My race is White. My income is 30000.0. I am writing with respect to article number 125. Fires always manage to touch my heart. I have personal experience with this and the fear is still with me to this day. A fire can ravage everything that you have any really leave a person traumatized. A lot of times a person or family will get woken up to loud alarms and smoke out of nowhere and have to pick their most important possessions to save. This is a scary situation!
106,"I guess I just feel bad for these people.  Losing your home to a fire has got to suck.  Not only did you lose everything you love and own in the blink of an eye, but let's be honest, it was probably your fault.  Usually fires start because you were doing something you weren't supposed to, or there was shoddy work completed.",2.833333333333333,1.25,Neutral,3.5,2.5,2.0,4.5,5.0,3.571,2.286,1.857,2.0,I am male. My age is 31.0 years. My education level is Two year associate degree. My race is White. My income is 82000.0. I am writing with respect to article number 125.,"I am male. My age is 31.0 years. My education level is Two year associate degree. My race is White. My income is 82000.0. I am writing with respect to article number 125. I guess I just feel bad for these people.  Losing your home to a fire has got to suck.  Not only did you lose everything you love and own in the blink of an eye, but let's be honest, it was probably your fault.  Usually fires start because you were doing something you weren't supposed to, or there was shoddy work completed."
107,"After reading the article, i felt really bad for the family that was involved in the fire. It is unfortunate because it was something accidental and something that could have happened to anyone. I am also glad that they are okay though and nobody died. I did feel unfortunate and sad for their cats because it stated that they were killed in the fire.",1.0,1.5,Sadness,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 125.,"I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 125. After reading the article, i felt really bad for the family that was involved in the fire. It is unfortunate because it was something accidental and something that could have happened to anyone. I am also glad that they are okay though and nobody died. I did feel unfortunate and sad for their cats because it stated that they were killed in the fire."
108,"dude, you smoke, i smoke. i just switched to vaping, but you still smoke. you know you can get lung cancer? lung cancer is no joke, thousands die from it every year. you can get it from cigarettes. you can also get it from air pollution.what kinds of air pollution? first hand smoke, second hand smoke, i just found about something called radon that is a naturally occurring gas that comes from rocks and dirt, dude rocks are killing us. thats trippy.  no what do air pollution and lung cancer have to do in common? you are more suceptable to die form air pollution if you got lung cancer from those cigarettes you been smoking. either way though, the pollution can kill you though, just more easily if you got cancer.",7.0,1.0,Neutral,7.0,7.0,3.0,7.0,7.0,4.429,1.857,4.429,5.0,I am male. My age is 33.0 years. My education level is High School diploma. My race is Hispanic or Latino. My income is 78000.0. I am writing with respect to article number 302.,"I am male. My age is 33.0 years. My education level is High School diploma. My race is Hispanic or Latino. My income is 78000.0. I am writing with respect to article number 302. dude, you smoke, i smoke. i just switched to vaping, but you still smoke. you know you can get lung cancer? lung cancer is no joke, thousands die from it every year. you can get it from cigarettes. you can also get it from air pollution.what kinds of air pollution? first hand smoke, second hand smoke, i just found about something called radon that is a naturally occurring gas that comes from rocks and dirt, dude rocks are killing us. thats trippy.  no what do air pollution and lung cancer have to do in common? you are more suceptable to die form air pollution if you got lung cancer from those cigarettes you been smoking. either way though, the pollution can kill you though, just more easily if you got cancer."
109,"Hey man, this is crazy. I had no idea air pollution causes this much damage to us. Did you know in India it kills almost half a million people per year? That is absolutely insane. Something has to be done about this pollution. I wonder what it is in America? It's probably even worse here than it is there. Some places have real bad air quality.",2.0,2.0,Surprise,5.5,6.0,5.5,5.0,6.5,3.143,1.714,3.857,2.429,I am male. My age is 34.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 68000.0. I am writing with respect to article number 302.,"I am male. My age is 34.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 68000.0. I am writing with respect to article number 302. Hey man, this is crazy. I had no idea air pollution causes this much damage to us. Did you know in India it kills almost half a million people per year? That is absolutely insane. Something has to be done about this pollution. I wonder what it is in America? It's probably even worse here than it is there. Some places have real bad air quality."
110,"Air pollution is bad, so bad that it kills thousands of people each year. In India alone according to a Washington Post article published last month, about half a million people die every year due to outdoor air pollution. With that introductory paragraph, here?s a finding of a new study that may not surprise a lot of you readers: people with lung cancer may have shorter survival times when exposed to smog and other air pollutants. With the above information it is vital to pay attention to people with lung cancer.",5.0,2.0,Neutral,5.5,4.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 302.,"I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 302. Air pollution is bad, so bad that it kills thousands of people each year. In India alone according to a Washington Post article published last month, about half a million people die every year due to outdoor air pollution. With that introductory paragraph, here?s a finding of a new study that may not surprise a lot of you readers: people with lung cancer may have shorter survival times when exposed to smog and other air pollutants. With the above information it is vital to pay attention to people with lung cancer."
111,California researchers studied lung cancer patients for 10 years between 1999 and 2009. This research showed the those patients who lived in higher pollution rates were more negatively effected than those who did not live in higher pollution. they recommend for patients to move to places where there is less pollution.,6.166666666666667,6.625,Neutral,6.0,6.0,5.0,4.5,3.5,5.0,4.143,4.857,5.0,I am female. My age is 28.0 years. My education level is Two year associate degree. My race is White. My income is 50000.0. I am writing with respect to article number 302.,I am female. My age is 28.0 years. My education level is Two year associate degree. My race is White. My income is 50000.0. I am writing with respect to article number 302. California researchers studied lung cancer patients for 10 years between 1999 and 2009. This research showed the those patients who lived in higher pollution rates were more negatively effected than those who did not live in higher pollution. they recommend for patients to move to places where there is less pollution.
112,What i read in the article about the tourists hurting the polar bears really angers me and makes me sad at the same time. It is terrible that a human being is able to harm an animal and be able to sleep at night. I think that people should be nowhere near polar bears to be honest. They should be left alone where they want to be.,1.0,2.25,Anger/Sadness,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 375.,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 375. What i read in the article about the tourists hurting the polar bears really angers me and makes me sad at the same time. It is terrible that a human being is able to harm an animal and be able to sleep at night. I think that people should be nowhere near polar bears to be honest. They should be left alone where they want to be.
113,It really irritates me when people kill any animal for pure sport but even moreso when the animals are endangered. If steps are not taken to protect the endangered species then this situation is likely to compound in the future. This situation is reaching levels to where some type of punishment or actions need to be taken.,5.5,4.875,Anger,6.0,6.5,4.0,4.0,5.5,4.0,1.571,4.0,3.857,I am male. My age is 30.0 years. My education level is High School diploma. My race is White. My income is 30000.0. I am writing with respect to article number 375.,I am male. My age is 30.0 years. My education level is High School diploma. My race is White. My income is 30000.0. I am writing with respect to article number 375. It really irritates me when people kill any animal for pure sport but even moreso when the animals are endangered. If steps are not taken to protect the endangered species then this situation is likely to compound in the future. This situation is reaching levels to where some type of punishment or actions need to be taken.
114,"Hey, so polar bears are being killed in mass. even though they are protected, they are still being killed off. why is it that humans do this so much? We have caused so many species to go extinct, will polar bears be next? I feel like this is just what we humans do. We cause the death and destruction of other species of animals and our own planet.",2.1666666666666665,1.875,Sadness,5.5,6.0,5.5,5.0,6.5,3.143,1.714,3.857,2.429,I am male. My age is 34.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 68000.0. I am writing with respect to article number 375.,"I am male. My age is 34.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 68000.0. I am writing with respect to article number 375. Hey, so polar bears are being killed in mass. even though they are protected, they are still being killed off. why is it that humans do this so much? We have caused so many species to go extinct, will polar bears be next? I feel like this is just what we humans do. We cause the death and destruction of other species of animals and our own planet."
115,Why would people go to Norway to mess with the polar bears? I do not understand what people are thinking sometimes. I wish people would just leave the polar bears and other animals alone for they can live their life just as people live their life. I hope one day the population of polar bears comes back up to normal.,1.0,6.75,Hope,7.0,5.5,1.0,6.5,6.0,4.857,2.0,3.429,5.0,I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 375.,I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 375. Why would people go to Norway to mess with the polar bears? I do not understand what people are thinking sometimes. I wish people would just leave the polar bears and other animals alone for they can live their life just as people live their life. I hope one day the population of polar bears comes back up to normal.
116,These type of people are some of the worst that there are. It sucks that parents feel they are forced to send their kids away to get employment. This is a short sighted answer and to be honest is taking advantage of their own children. These kids can grow up to be so many things if properly educated and yet it is squandered away.,5.666666666666667,4.25,Anger,6.0,6.5,4.0,4.0,5.5,4.0,1.571,4.0,3.857,I am male. My age is 30.0 years. My education level is High School diploma. My race is White. My income is 30000.0. I am writing with respect to article number 228.,I am male. My age is 30.0 years. My education level is High School diploma. My race is White. My income is 30000.0. I am writing with respect to article number 228. These type of people are some of the worst that there are. It sucks that parents feel they are forced to send their kids away to get employment. This is a short sighted answer and to be honest is taking advantage of their own children. These kids can grow up to be so many things if properly educated and yet it is squandered away.
117,"The Burmese president has ordered an investigation into the case of two girls who say they were kept prisoner and tortured for five years in a tailor shop. The teenagers were freed last week after a journalist helped them, but their families say that the police had on numerous occasions refused their pleas to get involved. This really made me sad what the two girls went through.",5.0,2.0,Sadness,5.5,4.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 228.,"I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 228. The Burmese president has ordered an investigation into the case of two girls who say they were kept prisoner and tortured for five years in a tailor shop. The teenagers were freed last week after a journalist helped them, but their families say that the police had on numerous occasions refused their pleas to get involved. This really made me sad what the two girls went through."
118,I can't believe having to go through that.  It's shocking that in a fairly developed world this is still going on.  What's even more shocking is that it sounds like this is probably fairly common in the area.  For the police and authorities to clearly not care about it suggests that it is considered to be a non issue.,2.5,2.875,Disgust,3.5,2.5,2.0,4.5,5.0,3.571,2.286,1.857,2.0,I am male. My age is 31.0 years. My education level is Two year associate degree. My race is White. My income is 82000.0. I am writing with respect to article number 228.,I am male. My age is 31.0 years. My education level is Two year associate degree. My race is White. My income is 82000.0. I am writing with respect to article number 228. I can't believe having to go through that.  It's shocking that in a fairly developed world this is still going on.  What's even more shocking is that it sounds like this is probably fairly common in the area.  For the police and authorities to clearly not care about it suggests that it is considered to be a non issue.
119,It is incredibly alarming that slavery is still being perpetuated in certain parts of the world. I am particularly disturbed by the fact that the parents willingly sent their children to this tailor. How disturbing. These young girls were robbed of their innocence and their parents did not sufficiently protect them.,4.0,1.25,Disgust/Sadness,6.5,7.0,3.5,4.5,7.0,3.714,1.0,2.429,1.429,I am male. My age is 33.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 64000.0. I am writing with respect to article number 228.,I am male. My age is 33.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 64000.0. I am writing with respect to article number 228. It is incredibly alarming that slavery is still being perpetuated in certain parts of the world. I am particularly disturbed by the fact that the parents willingly sent their children to this tailor. How disturbing. These young girls were robbed of their innocence and their parents did not sufficiently protect them.
120,"I find it sad that the little baby rhino has passed away.  Surely it lived a short life and it did not deserve a day.  Most animals seem to be very innocent creatures and it is always sad to hear of the loss of a little innocent animal life.  It also seems sad that it was at a rhino orphanage.  What happened to its parents, were they killed or did they abandon it?  Anyway, this is sad news although life does go on and it is the way of the world I guess.",1.6666666666666667,1.0,Sadness,7.0,3.5,6.5,5.5,6.5,3.429,2.714,2.571,3.857,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 400.,"I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 400. I find it sad that the little baby rhino has passed away.  Surely it lived a short life and it did not deserve a day.  Most animals seem to be very innocent creatures and it is always sad to hear of the loss of a little innocent animal life.  It also seems sad that it was at a rhino orphanage.  What happened to its parents, were they killed or did they abandon it?  Anyway, this is sad news although life does go on and it is the way of the world I guess."
121,"So, I just read an article about a baby rhino that passed away in captivity; apparently, due to lack of power? The article was very vague, but the woman describing the situation spoke of the rhino like a member of her family. The whole thing was very touching. It's hard not to have an emotional response to the suffering of any creature.",5.833333333333333,2.375,Neutral/Sadness,6.0,6.5,1.0,6.0,5.5,5.0,2.286,3.286,4.143,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 400.,"I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 400. So, I just read an article about a baby rhino that passed away in captivity; apparently, due to lack of power? The article was very vague, but the woman describing the situation spoke of the rhino like a member of her family. The whole thing was very touching. It's hard not to have an emotional response to the suffering of any creature."
122,This is just depressing because the little rhino was a famous one. I feel like I lost a pet of mine to be honest. It seems this rhino was quite important and when someone like that goes it is quite depressing and hard to put in to words.The fact the orphanage had no power is depressing. We need to do better ,6.5,6.5,Sadness,5.5,5.0,2.0,5.5,4.5,3.429,2.857,2.857,2.714,I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 400.,I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 400. This is just depressing because the little rhino was a famous one. I feel like I lost a pet of mine to be honest. It seems this rhino was quite important and when someone like that goes it is quite depressing and hard to put in to words.The fact the orphanage had no power is depressing. We need to do better 
123,I think its about time Saudi Arabia get with the rest of the worlds in the push for women to be treated equally. It is a shame that women need consent of a male guardian to go abroad. They are adults and should be free to travel where they wish. I think the need for consent is something from the 1400's and should be abolished now.,5.833333333333333,6.0,Disgust,5.5,5.0,2.0,5.5,4.5,3.429,2.857,2.857,2.714,I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 283.,I am male. My age is 32.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 35000.0. I am writing with respect to article number 283. I think its about time Saudi Arabia get with the rest of the worlds in the push for women to be treated equally. It is a shame that women need consent of a male guardian to go abroad. They are adults and should be free to travel where they wish. I think the need for consent is something from the 1400's and should be abolished now.
124,"I don't care about Saudi women at all and don't care about their campaign to end the guardianship requirements in their country.  I truly could not care less.  My brother lives in Saudi Arabia and it's a vile place full of vile people.  The more they suffer, the better.  What's interesting is that the women, in their bondage, actually hold a strangely revered place in society.  I'm not sure what an analogy would be, perhaps the elderly.  On one hand, it's true they have many limitations on their lives.  On the other, because of that they're treated as almost untouchable.  So my brother could theoretically get into an argument with a Saudi man, but never with a women.  It's a strange, paradoxical thing, and I wonder if the Saudi women understand it before they end it.",1.0,2.625,Disgust,2.5,2.0,1.5,2.0,1.0,3.286,4.429,2.714,2.571,I am male. My age is 41.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 28000.0. I am writing with respect to article number 283.,"I am male. My age is 41.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 28000.0. I am writing with respect to article number 283. I don't care about Saudi women at all and don't care about their campaign to end the guardianship requirements in their country.  I truly could not care less.  My brother lives in Saudi Arabia and it's a vile place full of vile people.  The more they suffer, the better.  What's interesting is that the women, in their bondage, actually hold a strangely revered place in society.  I'm not sure what an analogy would be, perhaps the elderly.  On one hand, it's true they have many limitations on their lives.  On the other, because of that they're treated as almost untouchable.  So my brother could theoretically get into an argument with a Saudi man, but never with a women.  It's a strange, paradoxical thing, and I wonder if the Saudi women understand it before they end it."
125,"After reading this article, my immediate reaction is that it makes me a bit angry. I am angry at the fact that women still have to go by rules like this in today's day and age. It makes me angry that women need the permission of a man in order to be able to do what she wants. In today's world, anyone should be able to do anything and their freedom should not be restricted.",1.0,1.625,Anger,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 283.,"I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 283. After reading this article, my immediate reaction is that it makes me a bit angry. I am angry at the fact that women still have to go by rules like this in today's day and age. It makes me angry that women need the permission of a man in order to be able to do what she wants. In today's world, anyone should be able to do anything and their freedom should not be restricted."
126,"Wow, a twelve year old russian girl commited suicide because of her association with some website that promoted teens committing suicide.  It's really sad that sick people would go online and prey on little children like this.  I find it shocking and hard to believe anyone would want to do such a thing.  They really need to find a way to crack down on these people and put them away for life.  This is just ridiculous.",2.5,1.25,Sadness,7.0,3.5,6.5,5.5,6.5,3.429,2.714,2.571,3.857,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 305.,"I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 305. Wow, a twelve year old russian girl commited suicide because of her association with some website that promoted teens committing suicide.  It's really sad that sick people would go online and prey on little children like this.  I find it shocking and hard to believe anyone would want to do such a thing.  They really need to find a way to crack down on these people and put them away for life.  This is just ridiculous."
127,"I just read an article about suicides in Russia. Apparently, there are online communities devoted to encouraging teenagers to take their own lives. Often times these websites are maintained and propagated just to receive money through advertising. Can you imagine living with the deaths of people just to make a few bucks from ads? We truly live in a twisted reality.",3.8333333333333335,2.625,Neutral,6.0,6.5,1.0,6.0,5.5,5.0,2.286,3.286,4.143,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 305.,"I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 305. I just read an article about suicides in Russia. Apparently, there are online communities devoted to encouraging teenagers to take their own lives. Often times these websites are maintained and propagated just to receive money through advertising. Can you imagine living with the deaths of people just to make a few bucks from ads? We truly live in a twisted reality."
128,"It's a day like any other day in a provincial city in central Russia. A 12-year-old girl is getting ready to go to school. Suddenly her phone rings. The next minute she is out of the door, saying she's meeting a friend and they will go to school together. Later the same day, when her mother turns up at the school, there is no sign of her daughter. No-one has seen her. This is really sad and terrifying.",6.0,2.0,Sadness,5.5,4.5,3.5,6.0,6.0,3.714,2.857,2.571,3.429,I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 305.,"I am female. My age is 22.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 100000.0. I am writing with respect to article number 305. It's a day like any other day in a provincial city in central Russia. A 12-year-old girl is getting ready to go to school. Suddenly her phone rings. The next minute she is out of the door, saying she's meeting a friend and they will go to school together. Later the same day, when her mother turns up at the school, there is no sign of her daughter. No-one has seen her. This is really sad and terrifying."
129,It is quite disturbing that the number of teen suicides in Russia is so high. It is far less surprising that there is a direct link between the increase in suicides and the Russian social media site VKontakte. I think there is a causal link between teen suicides in the US and the growing popularity of similar sites.,2.0,1.0,Neutral,6.5,7.0,3.5,4.5,7.0,3.714,1.0,2.429,1.429,I am male. My age is 33.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 64000.0. I am writing with respect to article number 305.,I am male. My age is 33.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 64000.0. I am writing with respect to article number 305. It is quite disturbing that the number of teen suicides in Russia is so high. It is far less surprising that there is a direct link between the increase in suicides and the Russian social media site VKontakte. I think there is a causal link between teen suicides in the US and the growing popularity of similar sites.
130,I just read an article about a teenage girl in Russia who was apparently taken in by an online suicide group that conditions teens to kill themselves. It's odd to think that there are people out there that get off on convincing impressionable youth to commit suicide. I think the internet is becoming something that guardians need to at least passively monitor to see what's going on in their children's heads.,5.666666666666667,5.25,Neutral,6.0,6.5,1.0,6.0,5.5,5.0,2.286,3.286,4.143,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 305.,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 305. I just read an article about a teenage girl in Russia who was apparently taken in by an online suicide group that conditions teens to kill themselves. It's odd to think that there are people out there that get off on convincing impressionable youth to commit suicide. I think the internet is becoming something that guardians need to at least passively monitor to see what's going on in their children's heads.
131,I think it's sad that so much plastic in the ocean is affecting wildlife the way it is.  It's really unfair the way we have destroyed their ecosystem with our own selfish use of plastic.  It is terrible when you see pictures of all the plastic in the ocean.  Apparently these birds are even being tricked into thinking plastic is food since it smells like food to them.  That is so unnatural and just wrong really.  and all this has happened in just a short period of time!,1.0,1.125,Sadness,7.0,3.5,6.5,5.5,6.5,3.429,2.714,2.571,3.857,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 299.,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 299. I think it's sad that so much plastic in the ocean is affecting wildlife the way it is.  It's really unfair the way we have destroyed their ecosystem with our own selfish use of plastic.  It is terrible when you see pictures of all the plastic in the ocean.  Apparently these birds are even being tricked into thinking plastic is food since it smells like food to them.  That is so unnatural and just wrong really.  and all this has happened in just a short period of time!
132,"I honestly find this article more amusing than anything.  I absolutely loathe birds.  Can't stand them.  Want them all dead.  I don't even care how that affects the food chain or nature.  I just can't stand birds.  So the idea that they're so stupid they'll keep eating plastic and threaten their species' very existence, is amusing to me.  I think the article also misses some important information that I'd be curious to know, but I also don't care that much.  I also think it's amusing that Asian countries are all the worst at dumping plastics in the ocean.  That's why the straw thing in the U.S. is missing the point.  We're not the problem.  The Asians are.",1.0,1.0,Anger,2.5,2.0,1.5,2.0,1.0,3.286,4.429,2.714,2.571,I am male. My age is 41.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 28000.0. I am writing with respect to article number 299.,"I am male. My age is 41.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 28000.0. I am writing with respect to article number 299. I honestly find this article more amusing than anything.  I absolutely loathe birds.  Can't stand them.  Want them all dead.  I don't even care how that affects the food chain or nature.  I just can't stand birds.  So the idea that they're so stupid they'll keep eating plastic and threaten their species' very existence, is amusing to me.  I think the article also misses some important information that I'd be curious to know, but I also don't care that much.  I also think it's amusing that Asian countries are all the worst at dumping plastics in the ocean.  That's why the straw thing in the U.S. is missing the point.  We're not the problem.  The Asians are."
